resp,valid,accu,nFrame,subject,session,stimulus_1,stimulus_2,stimulus_3,stimulus_4,stimulus_5,stimulus_6,stimulus_7,stimulus_8,stimulus_9,stimulus_10,target
0,1,1,9,1,1,-0.492469200764498,0.296062087388871,-0.369022132695689,-0.440906219935128,0.178438784387152,-0.356365873898846,-0.124079353446212,-0.315439885266977,0.1911459324591,NaN,0
1,1,1,9,1,1,0.0436316473570818,-0.462475186884319,-0.230456571731407,-0.516918775729624,0.590984516462915,0.398920249639706,0.37534281744716,0.269424670944385,-0.373695563970711,NaN,1
1,1,1,6,1,1,0.452820982923857,0.510239615751149,-0.19542660978433,0.548155068330235,-0.282910257132363,0.367969423111667,NaN,NaN,NaN,NaN,1
0,1,1,6,1,1,0.216926086003712,-0.0892295585383539,-0.429373266843566,-0.462910389511723,-0.49038318872058,-0.329249831217432,NaN,NaN,NaN,NaN,0
0,1,0,10,1,1,-0.507149702984394,0.51903612384453,-0.0717669128074862,-0.541303840126254,-0.461248730717033,-0.221450631813615,-0.476905628218321,-0.56465681512645,0.062211641390828,0.36174324129048,1
0,1,1,7,1,1,-0.541254287583845,-0.0279544399484313,-0.592690891106352,-0.447895383720063,-0.0148744069926318,-0.544228819892803,-0.0207874965078249,NaN,NaN,NaN,0
1,1,0,7,1,1,0.268558086368126,0.218406696220569,0.190611406068543,-0.575761734455454,0.58125235451552,0.537296205648785,-0.588278001962826,NaN,NaN,NaN,0
1,1,1,6,1,1,0.511816696406513,0.321160875713904,-0.370943286180636,0.594215218968296,0.585452989357872,0.518742878744758,NaN,NaN,NaN,NaN,1
1,1,0,8,1,1,-0.598907674240014,-0.570817875479997,0.341469123102003,0.420103276454453,0.344269140899496,0.48996502554854,-0.220568851331856,0.463433730877149,NaN,NaN,0
1,1,0,5,1,1,-0.140385993669136,-0.590724258123682,0.413593128930999,0.472186803178761,-0.599708777713513,NaN,NaN,NaN,NaN,NaN,0
1,1,1,9,1,1,0.597342439713226,0.223010824902044,0.193844593878997,0.265140425124478,-0.564896602639962,0.331796034748969,-0.5241864826771,0.558906838943271,-0.0957514689823457,NaN,1
